--Land--
DEN;SWE,KIE;SKA,BAL,HEI,NTH
BOH;VIE,GAL,TYR,MUN,SIL;
BUD;GAL,VIE,TRI,SER,RUM;
GAL;WAR,UKR,BOH,VIE,BUD,RUM;
TRI;TYR,VIE,BUD,SER,ALB,VEN;ADR
TYR;MUN,BOH,VIE,TRI,VEN,PIE;
VIE;BOH,GAL,BUD,TRI,TYR;
CLY;EDI,LVP;NAT,NRG
EDI;YOR,CLY,LVP;NRG,NTH
LVP;YOR,WAL,CLY,EDI;NAT,IRI
LON;WAL,YOR;NTH,ENG
WAL;LVP,LON,YOR;IRI,ENG
YOR;LON,WAL,LVP,EDI;NTH
BRE;PIC,PAR,GAS;ENG,MID
BUR;PAR,PIC,BEL,RUH,MUN,MAR,GAS;
GAS;BRE,PAR,BUR,MAR,SPA;MID
MAR;GAS,BUR,PIE,SPA;GOL
PAR;BRE,PIC,BUR,GAS;
PIC;BEL,BUR,PAR,BRE;ENG
BER;PRU,SIL,MUN,KIE;BAL
KIE;DEN,BER,MUN,RUH,HOL;HEI,BAL
MUN;RUH,KIE,BER,SIL,BOH,TYR,BUR;
PRU;LVN,WAR,SIL,BER;BAL
RUH;BEL,HOL,KIE,MUN,BUR;
SIL;PRU,WAR,GAL,BOH,MUN,BER;
APU;VEN,ROM,NAP;ADR,ION
NAP;APU,ROM;TYN,ION
PIE;VEN,TUS,MAR,TYR;GOL
ROM;TUS,VEN,APU,NAP;TYN
TUS;ROM,VEN,PIE;GOL,TYN
VEN;PIE,TUS,ROM,TYR,TRI;ADR
LVN;WAR,MOS,STP;BAL,BOT
MOS;STP,LVN,WAR,UKR,SEV;
SEV;UKR,MOS,ARM;BLA
STP;FIN,MOS,LVN;BAR,BOT
UKR;WAR,MOS,SEV,GAL,RUM;
WAR;PRU,SIL,GAL,UKR,MOS,LVN;
ANK;CON,SMY,SYR,ARM;BLA
ARM;SEV,ANK,SMY,SYR;BLA
CON;ANK,SMY,BUL;AEG,BLA
SMY;CON,ANK,ARM,SYR;AEG,EAS
SYR;SMY,ARM;EAS
ALB;TRI,SER,GRE;ADR,ION
BEL;HOL,RUH,BUR,PIC;ENG,NTH
BUL;RUM,SER,GRE,CON;BLA,AEG
FIN;STP,SWE,NWY;BOT
GRE;ALB,SER,BUL;AEG,ION
HOL;BEL,RUH,KIE;NTH,HEI
NWY;SWE,FIN;SKA,NTH,NRG,BAR
NAF;TUN;WES,MID
POR;SPA;MID
RUM;BUD,GAL,UKR,SEV,BUL,SER;BLA
SER;TRI,BUD,RUM,BUL,GRE,ALB;
SPA;POR,GAS,MAR;GOL,WES,MID
SWE;NWY,FIN,DEN;BOT,BAL,SKA
TUN;NAF;WES,TYN,ION
--Water--
ADR;APU,VEN,TRI,ALB;ION
AEG;GRE,BUL,CON,SMY;EAS,ION
BAL;SWE,LVN,PRU,BER,KIE,DEN;BOT
BAR;STP,NWY;NRG
BLA;SEV,ARM,ANK,CON,BUL,RUM;
EAS;SMY,SYR;AEG,ION
ENG;WAL,LON,BEL,PIC,BRE;IRI,NTH,MID
BOT;SWE,FIN,STP,LVN;BAL
GOL;SPA,MAR,PIE,TUS;WES,TYN
HEI;HOL,KIE,DEN;NTH
ION;TUN,NAP,APU,ALB,GRE;TYN,ADR,AEG,EAS
IRI;LVP,WAL;ENG,NAT,MID
MID;POR,SPA,GAS,BRE,NAF;NAT,IRI,ENG,WES
NAT;CLY;NRG,IRI,MID
NTH;EDI,YOR,LON,BEL,HOL,DEN,NWY;SKA,HEI,NRG,ENG
NRG;NWY,CLY;NTH,NAT
SKA;NWY,SWE,DEN;NTH
TYN;TUN,ROM,NAP,TUS;GOL,WES,ION
WES;NAF,SPA,TUN;GOL,TYN,MID
